La Politique;1;Qui est le chef de l'État en France ?;Le Président de la République
La Politique;2;Quel est l'âge légal pour voter ?;18 ans
La Politique;3;Où siègent les députés ?;Assemblée nationale
La Politique;4;Quelle est la durée d'un mandat présidentiel ?;5 ans
La Politique;5;Qui nomme le Premier ministre ?;Le Président de la République
La Politique;6;Quel nom porte l'union de l'Assemblée et du Sénat ?;Le Parlement
La Politique;7;Qui est le deuxième personnage de l'État dans l'ordre de succession ?;Le Président du Sénat
La Politique;8;Quelle institution vérifie la constitutionnalité des lois ?;Le Conseil constitutionnel
La Politique;9;Quel article permet d'adopter une loi sans vote ?;Le 49.3
La Politique;10;Qui fut le premier Premier ministre de la Ve République ?;Michel Debré
Immobilier;11;Comment appelle-t-on celui qui loue un appartement ?;Le locataire
Immobilier;12;Quel professionnel gère la vente et les visites ?;L'agent immobilier
Immobilier;13;Que signifie l'acronyme FAI ?;Frais d'Agence Inclus
Immobilier;14;Quel diagnostic évalue la performance énergétique ?;Le DPE
Immobilier;15;Quel est le montant classique du dépôt de garantie (mois) ?;1 mois pour un non-meublé
Immobilier;16;Quel est le délai de rétractation après signature d'un compromis ?;10 jours
Immobilier;17;"Qu'est-ce qu'une ""hypothèque"" ?";Une garantie bancaire sur le bien
Immobilier;18;"Que signifie ""vendre en viager"" ?";Vendre en échange d'une rente à vie
Immobilier;19;Quelle est la surface minimale d'un logement décent ?;9 m²
Immobilier;20;Qu'est-ce que l'usufruit ?;Droit d'utiliser un bien sans en être propriétaire
La Retraite;21;Comment appelle-t-on la somme perçue chaque mois ?;La pension
La Retraite;22;Quel est l'âge légal actuel de départ (post-réforme) ?;64 ans
La Retraite;23;Comment s'appelle l'arrêt définitif de l'activité professionnelle ?;La retraite
La Retraite;24;Que signifie CNAV ?;Caisse Nationale d'Assurance Vieillesse
La Retraite;25;Comment appelle-t-on une année de cotisation validée ?;Un trimestre
La Retraite;26;"Qu'est-ce que la ""décote"" ?";Réduction de pension si trimestres manquants
La Retraite;27;Quel système de retraite utilise la France ?;Système par répartition
La Retraite;28;Combien de trimestres faut-il pour le taux plein (génération 1965+) ?;172 trimestres
La Retraite;29; Qu'est-ce que la pension de réversion ?;Part de la retraite versée au conjoint survivant
La Retraite;30;Quel organisme gère la retraite complémentaire des salariés ?;Agirc-Arrco
