Le Cinéma;1;Quelle statuette est remise à Hollywood ?;L'Oscar
Le Cinéma;2;Quel acteur incarne Jack Sparrow ?;Johnny Depp
Le Cinéma;3;Quelle est la récompense suprême à Cannes ?;La Palme d'Or
Le Cinéma;4;Quel film d'animation met en scène Simba ?;Le Roi Lion
Le Cinéma;5;Qui a réalisé “Psychose” ?;Alfred Hitchcock
Le Cinéma;6;"En quelle année est sorti le premier ""Star Wars"" ?";1977
Le Cinéma;7;"Quel réalisateur a signé ""Inception"" ?";Christopher Nolan
Le Cinéma;8;Quel est le film français le plus vu au cinéma en France ?;Bienvenue chez les Ch'tis
Le Cinéma;9;Quel film a gagné l'Oscar du meilleur film en 2020 ? ;Parasite
Le Cinéma;10;Quel est l'ancêtre technique du cinéma (1895) ?;Le Cinématographe
Les Vacances;11;Quel objet protège les yeux du soleil ?;Lunettes de soleil
Les Vacances;12; Comment appelle-t-on le logement sous tente ?;Le camping
Les Vacances;13;Quel document est requis hors Europe ?;Le passeport
Les Vacances;14;"Que veut dire ""All Inclusive"" ?";Tout compris
Les Vacances;15;Quel pays est le plus visité au monde ?;La France
Les Vacances;16;Comment appelle-t-on le voyage centré sur la nature ?;L'écotourisme
Les Vacances;17;Quel est le surnom de la Corse ?;L'Île de Beauté
Les Vacances;18;Quel guide attribue des étoiles aux restaurants ?;Le Guide Michelin
Les Vacances;19;Quelle ville est la plus visitée au monde par les touristes ?;Paris
Les Vacances;20;Quel monument payant est le plus visité au monde ?;La Tour Eiffel
Musique;21;Combien y a-t-il de notes de base ?;7
Musique;22;Quel instrument a des touches noires et blanches ?;Le piano
Musique;23;"Qui est surnommé le ""King"" ?";Elvis Presley
Musique;24; Avec quoi lit-on un disque vinyle ?;Un tourne-disque
Musique;25;Qui dirige un orchestre ?;Le chef d'orchestre
Musique;26;"Quel groupe chantait ""Let It Be"" ?";The Beatles
Musique;27;Comment appelle-t-on l'écart de 8 notes ?;Une octave
Musique;28;Quel compositeur est devenu sourd ?;Beethoven
Musique;29;Quel instrument pratiquait Miles Davis ?;La trompette
Musique;30;"Que signifie ""Adagio"" sur une partition ?";Lentement
